categoria,objetivo,objetivo_nome,sub_indice,indice_geral,n_objetivos_com_dados
PE,2,Qualidade dos Serviços Digitais,70.3,80.2,9
PE,3,Identificação Única,100.0,80.2,9
PE,4,Segurança e LGPD,60.0,80.2,9
PE,5,Dados e Interoperabilidade,69.64,80.2,9
PE,6,Infraestrutura,50.0,80.2,9
PE,7,Inovação e Tecnologias Emergentes,100.0,80.2,9
PE,8,Eficiência e Processos,100.0,80.2,9
PE,9,Transparência e Participação,71.87,80.2,9
PE,10,Competências em Governo Digital,,80.2,9
AL,1,Governança do Governo Digital,0.0,41.11,9
AL,2,Qualidade dos Serviços Digitais,40.12,41.11,9
AL,3,Identificação Única,0.0,41.11,9
AL,4,Segurança e LGPD,80.0,41.11,9
AL,5,Dados e Interoperabilidade,62.5,41.11,9
AL,6,Infraestrutura,50.0,41.11,9
AL,7,Inovação e Tecnologias Emergentes,80.0,41.11,9
AL,8,Eficiência e Processos,0.0,41.11,9
AL,9,Transparência e Participação,57.34,41.11,9
AL,10,Competências em Governo Digital,,41.11,9
SE,1,Governança do Governo Digital,33.3,50.77,9
SE,2,Qualidade dos Serviços Digitais,47.14,50.77,9
SE,3,Identificação Única,50.0,50.77,9
SE,4,Segurança e LGPD,40.0,50.77,9
SE,5,Dados e Interoperabilidade,17.86,50.77,9
SE,6,Infraestrutura,50.0,50.77,9
SE,7,Inovação e Tecnologias Emergentes,60.0,50.77,9
SE,8,Eficiência e Processos,100.0,50.77,9
SE,9,Transparência e Participação,58.64,50.77,9
SE,10,Competências em Governo Digital,,50.77,9
BA,1,Governança do Governo Digital,33.3,49.74,9
BA,2,Qualidade dos Serviços Digitais,48.92,49.74,9
BA,3,Identificação Única,0.0,49.74,9
BA,4,Segurança e LGPD,20.0,49.74,9
BA,5,Dados e Interoperabilidade,12.5,49.74,9
BA,6,Infraestrutura,100.0,49.74,9
BA,7,Inovação e Tecnologias Emergentes,80.0,49.74,9
BA,8,Eficiência e Processos,100.0,49.74,9
BA,9,Transparência e Participação,52.98,49.74,9
BA,10,Competências em Governo Digital,,49.74,9
MG,1,Governança do Governo Digital,100.0,91.0,9
MG,2,Qualidade dos Serviços Digitais,84.67,91.0,9
MG,3,Identificação Única,100.0,91.0,9
MG,4,Segurança e LGPD,100.0,91.0,9
MG,5,Dados e Interoperabilidade,80.36,91.0,9
MG,6,Infraestrutura,100.0,91.0,9
MG,7,Inovação e Tecnologias Emergentes,80.0,91.0,9
MG,8,Eficiência e Processos,100.0,91.0,9
MG,9,Transparência e Participação,74.02,91.0,9
MG,10,Competências em Governo Digital,,91.0,9
ES,1,Governança do Governo Digital,0.0,59.24,9
ES,2,Qualidade dos Serviços Digitais,69.98,59.24,9
ES,3,Identificação Única,50.0,59.24,9
ES,4,Segurança e LGPD,80.0,59.24,9
ES,5,Dados e Interoperabilidade,19.64,59.24,9
ES,6,Infraestrutura,50.0,59.24,9
ES,7,Inovação e Tecnologias Emergentes,100.0,59.24,9
ES,8,Eficiência e Processos,100.0,59.24,9
ES,9,Transparência e Participação,63.54,59.24,9
ES,10,Competências em Governo Digital,,59.24,9
RJ,1,Governança do Governo Digital,100.0,91.48,9
RJ,2,Qualidade dos Serviços Digitais,89.03,91.48,9
RJ,3,Identificação Única,100.0,91.48,9
RJ,4,Segurança e LGPD,100.0,91.48,9
RJ,5,Dados e Interoperabilidade,67.86,91.48,9
RJ,6,Infraestrutura,100.0,91.48,9
RJ,7,Inovação e Tecnologias Emergentes,100.0,91.48,9
RJ,8,Eficiência e Processos,100.0,91.48,9
RJ,9,Transparência e Participação,66.41,91.48,9
RJ,10,Competências em Governo Digital,,91.48,9
SP,1,Governança do Governo Digital,100.0,85.14,9
SP,2,Qualidade dos Serviços Digitais,88.18,85.14,9
SP,3,Identificação Única,100.0,85.14,9
SP,4,Segurança e LGPD,100.0,85.14,9
SP,5,Dados e Interoperabilidade,75.0,85.14,9
SP,6,Infraestrutura,100.0,85.14,9
SP,7,Inovação e Tecnologias Emergentes,80.0,85.14,9
SP,8,Eficiência e Processos,50.0,85.14,9
SP,9,Transparência e Participação,73.07,85.14,9
SP,10,Competências em Governo Digital,,85.14,9
PR,1,Governança do Governo Digital,0.0,62.99,9
PR,2,Qualidade dos Serviços Digitais,68.03,62.99,9
PR,3,Identificação Única,100.0,62.99,9
PR,4,Segurança e LGPD,80.0,62.99,9
PR,5,Dados e Interoperabilidade,19.64,62.99,9
PR,6,Infraestrutura,100.0,62.99,9
PR,7,Inovação e Tecnologias Emergentes,100.0,62.99,9
PR,8,Eficiência e Processos,50.0,62.99,9
PR,9,Transparência e Participação,49.19,62.99,9
PR,10,Competências em Governo Digital,,62.99,9
SC,1,Governança do Governo Digital,0.0,48.65,9
SC,2,Qualidade dos Serviços Digitais,58.24,48.65,9
SC,3,Identificação Única,66.65,48.65,9
SC,4,Segurança e LGPD,60.0,48.65,9
SC,5,Dados e Interoperabilidade,73.22,48.65,9
SC,6,Infraestrutura,50.0,48.65,9
SC,7,Inovação e Tecnologias Emergentes,80.0,48.65,9
SC,8,Eficiência e Processos,0.0,48.65,9
SC,9,Transparência e Participação,49.74,48.65,9
