categoria,objetivo,objetivo_nome,concept_id,fonte,indicador,sub_itens,descricao,escala,populacao,valor_normalizado,ano_fonte
Total,2,Qualidade dos Serviços Digitais,tic_gov/C6B_E,tic_gov,C6B,['E'],Envio de mensagens por WhatsApp ou Telegram,prop_0_100,orgaos_e_prefeituras_com_acesso_internet,48.4256,2023
Total,2,Qualidade dos Serviços Digitais,tic_gov/E1_CHATBOT,tic_gov,E1,['CHATBOT'],Atendimento automatizado por assistente virtual ou chatbot,prop_0_100,orgaos_e_prefeituras_com_website,13.842600000000001,2023
Total,2,Qualidade dos Serviços Digitais,tic_gov/E1_COMPLAINT,tic_gov,E1,['COMPLAINT'],Denúncia online como forma de contato,prop_0_100,orgaos_e_prefeituras_com_website,69.4817,2023
Total,2,Qualidade dos Serviços Digitais,tic_gov/E1_EMAIL,tic_gov,E1,['EMAIL'],Endereço de e-mail como forma de contato,prop_0_100,orgaos_e_prefeituras_com_website,95.67715,2023
Total,2,Qualidade dos Serviços Digitais,tic_gov/E1_FOI_REQUEST,tic_gov,E1,['FOI_REQUEST'],Serviço de solicitação de acesso à informação,prop_0_100,orgaos_e_prefeituras_com_website,70.86915,2023
Total,2,Qualidade dos Serviços Digitais,tic_gov/E1_FORM,tic_gov,E1,['FORM'],Formulário eletrônico como forma de contato,prop_0_100,orgaos_e_prefeituras_com_website,63.60525,2023
Total,2,Qualidade dos Serviços Digitais,tic_gov/E1_LIVE_CHAT,tic_gov,E1,['LIVE_CHAT'],Chat com atendentes em tempo real,prop_0_100,orgaos_e_prefeituras_com_website,20.119349999999997,2023
Total,2,Qualidade dos Serviços Digitais,tic_gov/E1_SUGGESTIONS,tic_gov,E1,['SUGGESTIONS'],Canal de sugestões para melhoria de serviços públicos,prop_0_100,orgaos_e_prefeituras_com_website,68.51595,2023
Total,2,Qualidade dos Serviços Digitais,tic_saude/C1,tic_saude,C1,"['A', 'B', 'C', 'D', 'E']",Serviços online ao paciente (D1 questionário → C1 portal),prop_0_100,estabelecimentos_que_utilizaram_internet_12m,28.153639999999996,2024
Total,2,Qualidade dos Serviços Digitais,tic_saude/C2,tic_saude,C2,"['A', 'B', 'C', 'D', 'E', 'F']",Telessaúde modalidades (D2A quest. → C2 portal),prop_0_100,estabelecimentos_que_utilizaram_internet_12m,20.953133333333337,2024
Total,2,Qualidade dos Serviços Digitais,tic_saude/C5,tic_saude,C5,total,Website (B6-A quest. → C5 portal),prop_0_100,estabelecimentos_que_utilizaram_internet_12m,50.05,2024
