categoria,objetivo,objetivo_nome,concept_id,fonte,indicador,sub_itens,descricao,escala,populacao,valor_normalizado,ano_fonte
BA,2,Qualidade dos Serviços Digitais,iospd/IOSPD_I03,iospd,IOSPD_I03,total,Agendamento digital unificado (IOSPD I.3),indice_0_10,uf,100.0,2025
BA,2,Qualidade dos Serviços Digitais,iospd/IOSPD_I04,iospd,IOSPD_I04,total,Avaliação de satisfação dos usuários (IOSPD I.4),indice_0_10,uf,100.0,2025
BA,2,Qualidade dos Serviços Digitais,iospd/IOSPD_I06,iospd,IOSPD_I06,total,Gestão de cadastro e perfil do cidadão (IOSPD I.6),indice_0_10,uf,100.0,2025
BA,2,Qualidade dos Serviços Digitais,iospd/IOSPD_I07,iospd,IOSPD_I07,total,Ouvidoria integrada ao portal (IOSPD I.7),indice_0_10,uf,100.0,2025
BA,2,Qualidade dos Serviços Digitais,iospd/IOSPD_I08,iospd,IOSPD_I08,total,Simplificação de serviços online (IOSPD I.8),indice_0_10,uf,0.0,2025
BA,2,Qualidade dos Serviços Digitais,iospd/IOSPD_I12,iospd,IOSPD_I12,total,Ferramenta digital integrada de atendimento (IOSPD I.12),indice_0_10,uf,100.0,2025
BA,2,Qualidade dos Serviços Digitais,iospd/IOSPD_II01,iospd,IOSPD_II01,total,Rematrícula online escolas estaduais (IOSPD II.1),indice_0_10,uf,0.0,2025
BA,2,Qualidade dos Serviços Digitais,iospd/IOSPD_II02,iospd,IOSPD_II02,total,Solicitação de medicamento de alto custo digital (IOSPD II.2),indice_0_10,uf,0.0,2025
BA,2,Qualidade dos Serviços Digitais,iospd/IOSPD_II03,iospd,IOSPD_II03,total,Tele-atendimento saúde por videoconferência (IOSPD II.3),indice_0_10,uf,0.0,2025
BA,2,Qualidade dos Serviços Digitais,iospd/IOSPD_II04,iospd,IOSPD_II04,total,Prova de vida online (IOSPD II.4),indice_0_10,uf,100.0,2025
BA,2,Qualidade dos Serviços Digitais,iospd/IOSPD_II05,iospd,IOSPD_II05,total,Recurso/defesa online infrações de trânsito (IOSPD II.5),indice_0_10,uf,0.0,2025
BA,2,Qualidade dos Serviços Digitais,iospd/IOSPD_II06,iospd,IOSPD_II06,total,Registro digital reclamação CDC (IOSPD II.6),indice_0_10,uf,0.0,2025
BA,2,Qualidade dos Serviços Digitais,iospd/IOSPD_II07,iospd,IOSPD_II07,total,Solicitação online 2ª via RG (IOSPD II.7),indice_0_10,uf,100.0,2025
BA,2,Qualidade dos Serviços Digitais,iospd/IOSPD_II08,iospd,IOSPD_II08,total,Boletim de ocorrência online violência doméstica (IOSPD II.8),indice_0_10,uf,0.0,2025
BA,2,Qualidade dos Serviços Digitais,iospd/IOSPD_II09,iospd,IOSPD_II09,total,Consulta online medicamentos disponíveis (IOSPD II.9),indice_0_10,uf,0.0,2025
BA,2,Qualidade dos Serviços Digitais,iospd/IOSPD_II10,iospd,IOSPD_II10,total,Emissão/envio de receita médica online (IOSPD II.10),indice_0_10,uf,0.0,2025
BA,2,Qualidade dos Serviços Digitais,iospd/IOSPD_II11,iospd,IOSPD_II11,total,Emissão online diplomas ensino médio (IOSPD II.11),indice_0_10,uf,0.0,2025
BA,2,Qualidade dos Serviços Digitais,iospd/IOSPD_II12,iospd,IOSPD_II12,total,Transferência online entre escolas estaduais (IOSPD II.12),indice_0_10,uf,100.0,2025
BA,2,Qualidade dos Serviços Digitais,iospd/IOSPD_III01a,iospd,IOSPD_III01a,total,Carta de Serviços normatizada (IOSPD III.1a),indice_0_10,uf,0.0,2025
BA,2,Qualidade dos Serviços Digitais,iospd/IOSPD_III01b,iospd,IOSPD_III01b,total,Ouvidorias Públicas normatizadas (IOSPD III.1b),indice_0_10,uf,0.0,2025
BA,2,Qualidade dos Serviços Digitais,iospd/IOSPD_III01c,iospd,IOSPD_III01c,total,Conselho de Usuários normatizado (IOSPD III.1c),indice_0_10,uf,0.0,2025
BA,2,Qualidade dos Serviços Digitais,iospd/IOSPD_III01d,iospd,IOSPD_III01d,total,Avaliação de Serviços Públicos normatizada (IOSPD III.1d),indice_0_10,uf,0.0,2025
BA,2,Qualidade dos Serviços Digitais,iospd/IOSPD_IV01,iospd,IOSPD_IV01,total,Tempos verbais 2ª/3ª pessoa (IOSPD IV.1),indice_0_10,uf,80.0,2025
