,categoria,indice_geral,n_objetivos_com_dados
1,AM,96.48,7
2,MG,96.46,7
3,DF,95.97,7
4,BA,95.74,7
5,PR,95.09,7
6,SP,92.85,7
7,PE,91.47,7
8,RJ,87.94,7
9,PB,87.18,7
10,AP,86.55,7
11,MT,86.37,7
12,CE,85.24,7
13,MA,82.62,7
14,MS,81.1,7
15,SE,80.74,7
16,RS,79.47,7
17,GO,78.49,7
18,RO,77.43,7
19,RN,77.19,7
20,PI,76.01,7
21,ES,75.78,7
22,SC,71.91,7
23,AL,68.98,7
24,RR,62.31,7
25,TO,60.28,7
26,PA,58.12,7
27,AC,47.09,7
