nivel,unidade,unidade_nome,objetivo,objetivo_nome,ano_indice,sub_indice,indice_geral,n_objetivos_com_dados,posicao_no_objetivo
uf,MA,Maranhão,7,Inovação e Tecnologias Emergentes,,80.0,58.23,9.0,10
uf,MA,Maranhão,8,Eficiência e Processos,,100.0,58.23,9.0,1
uf,MA,Maranhão,9,Transparência e Participação,,60.11,58.23,9.0,16
uf,PI,Piauí,1,Governança do Governo Digital,,100.0,93.76,9.0,1
uf,PI,Piauí,2,Qualidade dos Serviços Digitais,,92.65,93.76,9.0,1
uf,PI,Piauí,3,Identificação Única,,100.0,93.76,9.0,1
uf,PI,Piauí,4,Segurança e LGPD,,100.0,93.76,9.0,1
uf,PI,Piauí,5,Dados e Interoperabilidade,,66.07,93.76,9.0,7
uf,PI,Piauí,6,Infraestrutura,,100.0,93.76,9.0,1
uf,PI,Piauí,7,Inovação e Tecnologias Emergentes,,100.0,93.76,9.0,1
uf,PI,Piauí,8,Eficiência e Processos,,100.0,93.76,9.0,1
uf,PI,Piauí,9,Transparência e Participação,,85.11,93.76,9.0,2
uf,CE,Ceará,1,Governança do Governo Digital,,0.0,57.81,9.0,18
uf,CE,Ceará,2,Qualidade dos Serviços Digitais,,74.25,57.81,9.0,11
uf,CE,Ceará,3,Identificação Única,,100.0,57.81,9.0,1
uf,CE,Ceará,4,Segurança e LGPD,,80.0,57.81,9.0,7
uf,CE,Ceará,5,Dados e Interoperabilidade,,62.5,57.81,9.0,8
uf,CE,Ceará,6,Infraestrutura,,100.0,57.81,9.0,1
uf,CE,Ceará,7,Inovação e Tecnologias Emergentes,,40.0,57.81,9.0,23
uf,CE,Ceará,8,Eficiência e Processos,,0.0,57.81,9.0,20
uf,CE,Ceará,9,Transparência e Participação,,63.58,57.81,9.0,12
uf,RN,Rio Grande do Norte,1,Governança do Governo Digital,,0.0,37.41,9.0,18
uf,RN,Rio Grande do Norte,2,Qualidade dos Serviços Digitais,,28.94,37.41,9.0,27
uf,RN,Rio Grande do Norte,3,Identificação Única,,16.65,37.41,9.0,25
uf,RN,Rio Grande do Norte,4,Segurança e LGPD,,80.0,37.41,9.0,7
uf,RN,Rio Grande do Norte,5,Dados e Interoperabilidade,,12.5,37.41,9.0,23
uf,RN,Rio Grande do Norte,6,Infraestrutura,,100.0,37.41,9.0,1
uf,RN,Rio Grande do Norte,7,Inovação e Tecnologias Emergentes,,40.0,37.41,9.0,23
uf,RN,Rio Grande do Norte,8,Eficiência e Processos,,0.0,37.41,9.0,20
uf,RN,Rio Grande do Norte,9,Transparência e Participação,,58.64,37.41,9.0,17
uf,PB,Paraíba,1,Governança do Governo Digital,,0.0,50.75,9.0,18
uf,PB,Paraíba,2,Qualidade dos Serviços Digitais,,37.95,50.75,9.0,24
uf,PB,Paraíba,3,Identificação Única,,66.65,50.75,9.0,14
uf,PB,Paraíba,4,Segurança e LGPD,,40.0,50.75,9.0,22
uf,PB,Paraíba,5,Dados e Interoperabilidade,,19.64,50.75,9.0,18
uf,PB,Paraíba,6,Infraestrutura,,50.0,50.75,9.0,17
uf,PB,Paraíba,7,Inovação e Tecnologias Emergentes,,80.0,50.75,9.0,10
uf,PB,Paraíba,8,Eficiência e Processos,,100.0,50.75,9.0,1
uf,PB,Paraíba,9,Transparência e Participação,,62.53,50.75,9.0,14
uf,PE,Pernambuco,1,Governança do Governo Digital,,100.0,80.2,9.0,1
uf,PE,Pernambuco,2,Qualidade dos Serviços Digitais,,70.3,80.2,9.0,13
uf,PE,Pernambuco,3,Identificação Única,,100.0,80.2,9.0,1
uf,PE,Pernambuco,4,Segurança e LGPD,,60.0,80.2,9.0,17
uf,PE,Pernambuco,5,Dados e Interoperabilidade,,69.64,80.2,9.0,5
uf,PE,Pernambuco,6,Infraestrutura,,50.0,80.2,9.0,17
uf,PE,Pernambuco,7,Inovação e Tecnologias Emergentes,,100.0,80.2,9.0,1
uf,PE,Pernambuco,8,Eficiência e Processos,,100.0,80.2,9.0,1
uf,PE,Pernambuco,9,Transparência e Participação,,71.87,80.2,9.0,9
uf,AL,Alagoas,1,Governança do Governo Digital,,0.0,41.11,9.0,18
uf,AL,Alagoas,2,Qualidade dos Serviços Digitais,,40.12,41.11,9.0,23
uf,AL,Alagoas,3,Identificação Única,,0.0,41.11,9.0,26
uf,AL,Alagoas,4,Segurança e LGPD,,80.0,41.11,9.0,7
uf,AL,Alagoas,5,Dados e Interoperabilidade,,62.5,41.11,9.0,8
uf,AL,Alagoas,6,Infraestrutura,,50.0,41.11,9.0,17
uf,AL,Alagoas,7,Inovação e Tecnologias Emergentes,,80.0,41.11,9.0,10
uf,AL,Alagoas,8,Eficiência e Processos,,0.0,41.11,9.0,20
uf,AL,Alagoas,9,Transparência e Participação,,57.34,41.11,9.0,19
uf,SE,Sergipe,1,Governança do Governo Digital,,33.3,50.77,9.0,12
uf,SE,Sergipe,2,Qualidade dos Serviços Digitais,,47.14,50.77,9.0,21
uf,SE,Sergipe,3,Identificação Única,,50.0,50.77,9.0,19
uf,SE,Sergipe,4,Segurança e LGPD,,40.0,50.77,9.0,22
uf,SE,Sergipe,5,Dados e Interoperabilidade,,17.86,50.77,9.0,22
uf,SE,Sergipe,6,Infraestrutura,,50.0,50.77,9.0,17
uf,SE,Sergipe,7,Inovação e Tecnologias Emergentes,,60.0,50.77,9.0,20
uf,SE,Sergipe,8,Eficiência e Processos,,100.0,50.77,9.0,1
uf,SE,Sergipe,9,Transparência e Participação,,58.64,50.77,9.0,17
uf,BA,Bahia,1,Governança do Governo Digital,,33.3,49.74,9.0,12
uf,BA,Bahia,2,Qualidade dos Serviços Digitais,,48.92,49.74,9.0,20
uf,BA,Bahia,3,Identificação Única,,0.0,49.74,9.0,26
uf,BA,Bahia,4,Segurança e LGPD,,20.0,49.74,9.0,25
uf,BA,Bahia,5,Dados e Interoperabilidade,,12.5,49.74,9.0,23
uf,BA,Bahia,6,Infraestrutura,,100.0,49.74,9.0,1
uf,BA,Bahia,7,Inovação e Tecnologias Emergentes,,80.0,49.74,9.0,10
uf,BA,Bahia,8,Eficiência e Processos,,100.0,49.74,9.0,1
uf,BA,Bahia,9,Transparência e Participação,,52.98,49.74,9.0,22
uf,MG,Minas Gerais,1,Governança do Governo Digital,,100.0,91.0,9.0,1
uf,MG,Minas Gerais,2,Qualidade dos Serviços Digitais,,84.67,91.0,9.0,6
uf,MG,Minas Gerais,3,Identificação Única,,100.0,91.0,9.0,1
uf,MG,Minas Gerais,4,Segurança e LGPD,,100.0,91.0,9.0,1
uf,MG,Minas Gerais,5,Dados e Interoperabilidade,,80.36,91.0,9.0,1
uf,MG,Minas Gerais,6,Infraestrutura,,100.0,91.0,9.0,1
uf,MG,Minas Gerais,7,Inovação e Tecnologias Emergentes,,80.0,91.0,9.0,10
uf,MG,Minas Gerais,8,Eficiência e Processos,,100.0,91.0,9.0,1
uf,MG,Minas Gerais,9,Transparência e Participação,,74.02,91.0,9.0,6
uf,ES,Espírito Santo,1,Governança do Governo Digital,,0.0,59.24,9.0,18
uf,ES,Espírito Santo,2,Qualidade dos Serviços Digitais,,69.98,59.24,9.0,14
uf,ES,Espírito Santo,3,Identificação Única,,50.0,59.24,9.0,19
uf,ES,Espírito Santo,4,Segurança e LGPD,,80.0,59.24,9.0,7
uf,ES,Espírito Santo,5,Dados e Interoperabilidade,,19.64,59.24,9.0,18
uf,ES,Espírito Santo,6,Infraestrutura,,50.0,59.24,9.0,17
uf,ES,Espírito Santo,7,Inovação e Tecnologias Emergentes,,100.0,59.24,9.0,1
uf,ES,Espírito Santo,8,Eficiência e Processos,,100.0,59.24,9.0,1
uf,ES,Espírito Santo,9,Transparência e Participação,,63.54,59.24,9.0,13
uf,RJ,Rio de Janeiro,1,Governança do Governo Digital,,100.0,91.48,9.0,1
uf,RJ,Rio de Janeiro,2,Qualidade dos Serviços Digitais,,89.03,91.48,9.0,2
uf,RJ,Rio de Janeiro,3,Identificação Única,,100.0,91.48,9.0,1
uf,RJ,Rio de Janeiro,4,Segurança e LGPD,,100.0,91.48,9.0,1
uf,RJ,Rio de Janeiro,5,Dados e Interoperabilidade,,67.86,91.48,9.0,6
uf,RJ,Rio de Janeiro,6,Infraestrutura,,100.0,91.48,9.0,1
uf,RJ,Rio de Janeiro,7,Inovação e Tecnologias Emergentes,,100.0,91.48,9.0,1
uf,RJ,Rio de Janeiro,8,Eficiência e Processos,,100.0,91.48,9.0,1
uf,RJ,Rio de Janeiro,9,Transparência e Participação,,66.41,91.48,9.0,11
uf,SP,São Paulo,1,Governança do Governo Digital,,100.0,85.14,9.0,1
uf,SP,São Paulo,2,Qualidade dos Serviços Digitais,,88.18,85.14,9.0,3
uf,SP,São Paulo,3,Identificação Única,,100.0,85.14,9.0,1
uf,SP,São Paulo,4,Segurança e LGPD,,100.0,85.14,9.0,1
uf,SP,São Paulo,5,Dados e Interoperabilidade,,75.0,85.14,9.0,2
uf,SP,São Paulo,6,Infraestrutura,,100.0,85.14,9.0,1
uf,SP,São Paulo,7,Inovação e Tecnologias Emergentes,,80.0,85.14,9.0,10
uf,SP,São Paulo,8,Eficiência e Processos,,50.0,85.14,9.0,18
uf,SP,São Paulo,9,Transparência e Participação,,73.07,85.14,9.0,8
uf,PR,Paraná,1,Governança do Governo Digital,,0.0,62.99,9.0,18
uf,PR,Paraná,2,Qualidade dos Serviços Digitais,,68.03,62.99,9.0,15
uf,PR,Paraná,3,Identificação Única,,100.0,62.99,9.0,1
uf,PR,Paraná,4,Segurança e LGPD,,80.0,62.99,9.0,7
uf,PR,Paraná,5,Dados e Interoperabilidade,,19.64,62.99,9.0,18
uf,PR,Paraná,6,Infraestrutura,,100.0,62.99,9.0,1
uf,PR,Paraná,7,Inovação e Tecnologias Emergentes,,100.0,62.99,9.0,1
uf,PR,Paraná,8,Eficiência e Processos,,50.0,62.99,9.0,18
uf,PR,Paraná,9,Transparência e Participação,,49.19,62.99,9.0,25
uf,SC,Santa Catarina,1,Governança do Governo Digital,,0.0,48.65,9.0,18
uf,SC,Santa Catarina,2,Qualidade dos Serviços Digitais,,58.24,48.65,9.0,17
uf,SC,Santa Catarina,3,Identificação Única,,66.65,48.65,9.0,14
uf,SC,Santa Catarina,4,Segurança e LGPD,,60.0,48.65,9.0,17
uf,SC,Santa Catarina,5,Dados e Interoperabilidade,,73.22,48.65,9.0,4
uf,SC,Santa Catarina,6,Infraestrutura,,50.0,48.65,9.0,17
uf,SC,Santa Catarina,7,Inovação e Tecnologias Emergentes,,80.0,48.65,9.0,10
uf,SC,Santa Catarina,8,Eficiência e Processos,,0.0,48.65,9.0,20
uf,SC,Santa Catarina,9,Transparência e Participação,,49.74,48.65,9.0,24
uf,RS,Rio Grande do Sul,1,Governança do Governo Digital,,100.0,92.07,9.0,1
uf,RS,Rio Grande do Sul,2,Qualidade dos Serviços Digitais,,86.88,92.07,9.0,4
uf,RS,Rio Grande do Sul,3,Identificação Única,,100.0,92.07,9.0,1
uf,RS,Rio Grande do Sul,4,Segurança e LGPD,,100.0,92.07,9.0,1
uf,RS,Rio Grande do Sul,5,Dados e Interoperabilidade,,62.5,92.07,9.0,8
uf,RS,Rio Grande do Sul,6,Infraestrutura,,100.0,92.07,9.0,1
uf,RS,Rio Grande do Sul,7,Inovação e Tecnologias Emergentes,,100.0,92.07,9.0,1
uf,RS,Rio Grande do Sul,8,Eficiência e Processos,,100.0,92.07,9.0,1
uf,RS,Rio Grande do Sul,9,Transparência e Participação,,79.28,92.07,9.0,5
uf,MS,Mato Grosso do Sul,1,Governança do Governo Digital,,33.3,76.34,9.0,12
uf,MS,Mato Grosso do Sul,2,Qualidade dos Serviços Digitais,,83.99,76.34,9.0,7
uf,MS,Mato Grosso do Sul,3,Identificação Única,,66.65,76.34,9.0,14
uf,MS,Mato Grosso do Sul,4,Segurança e LGPD,,80.0,76.34,9.0,7
uf,MS,Mato Grosso do Sul,5,Dados e Interoperabilidade,,33.93,76.34,9.0,14
uf,MS,Mato Grosso do Sul,6,Infraestrutura,,100.0,76.34,9.0,1
uf,MS,Mato Grosso do Sul,7,Inovação e Tecnologias Emergentes,,100.0,76.34,9.0,1
uf,MS,Mato Grosso do Sul,8,Eficiência e Processos,,100.0,76.34,9.0,1
uf,MS,Mato Grosso do Sul,9,Transparência e Participação,,89.19,76.34,9.0,1
uf,MT,Mato Grosso,1,Governança do Governo Digital,,100.0,72.25,9.0,1
uf,MT,Mato Grosso,2,Qualidade dos Serviços Digitais,,83.21,72.25,9.0,9
uf,MT,Mato Grosso,3,Identificação Única,,100.0,72.25,9.0,1
uf,MT,Mato Grosso,4,Segurança e LGPD,,20.0,72.25,9.0,25
uf,MT,Mato Grosso,5,Dados e Interoperabilidade,,62.5,72.25,9.0,8
uf,MT,Mato Grosso,6,Infraestrutura,,50.0,72.25,9.0,17
uf,MT,Mato Grosso,7,Inovação e Tecnologias Emergentes,,80.0,72.25,9.0,10
uf,MT,Mato Grosso,8,Eficiência e Processos,,100.0,72.25,9.0,1
uf,MT,Mato Grosso,9,Transparência e Participação,,54.57,72.25,9.0,21
uf,GO,Goiás,1,Governança do Governo Digital,,100.0,89.93,9.0,1
uf,GO,Goiás,2,Qualidade dos Serviços Digitais,,83.35,89.93,9.0,8
uf,GO,Goiás,3,Identificação Única,,100.0,89.93,9.0,1
uf,GO,Goiás,4,Segurança e LGPD,,80.0,89.93,9.0,7
uf,GO,Goiás,5,Dados e Interoperabilidade,,62.5,89.93,9.0,8
uf,GO,Goiás,6,Infraestrutura,,100.0,89.93,9.0,1
uf,GO,Goiás,7,Inovação e Tecnologias Emergentes,,100.0,89.93,9.0,1
uf,GO,Goiás,8,Eficiência e Processos,,100.0,89.93,9.0,1
uf,GO,Goiás,9,Transparência e Participação,,83.54,89.93,9.0,3
uf,DF,Distrito Federal,1,Governança do Governo Digital,,33.3,56.36,9.0,12
uf,DF,Distrito Federal,2,Qualidade dos Serviços Digitais,,61.23,56.36,9.0,16
uf,DF,Distrito Federal,3,Identificação Única,,66.65,56.36,9.0,14
uf,DF,Distrito Federal,4,Segurança e LGPD,,80.0,56.36,9.0,7
uf,DF,Distrito Federal,5,Dados e Interoperabilidade,,12.5,56.36,9.0,23
uf,DF,Distrito Federal,6,Infraestrutura,,100.0,56.36,9.0,1
uf,DF,Distrito Federal,7,Inovação e Tecnologias Emergentes,,80.0,56.36,9.0,10
uf,DF,Distrito Federal,8,Eficiência e Processos,,0.0,56.36,9.0,20
uf,DF,Distrito Federal,9,Transparência e Participação,,73.54,56.36,9.0,7
capital,1100205,Porto Velho,1,Governança do Governo Digital,,100.0,77.43,7.0,1
capital,1100205,Porto Velho,2,Qualidade dos Serviços Digitais,,67.33,77.43,7.0,23
capital,1100205,Porto Velho,3,Identificação Única,,100.0,77.43,7.0,1
capital,1100205,Porto Velho,4,Segurança e LGPD,,100.0,77.43,7.0,1
capital,1100205,Porto Velho,5,Dados e Interoperabilidade,,0.0,77.43,7.0,20
capital,1100205,Porto Velho,6,Infraestrutura,,85.8,77.43,7.0,14
capital,1100205,Porto Velho,9,Transparência e Participação,,88.89,77.43,7.0,1
capital,1200401,Rio Branco,1,Governança do Governo Digital,,100.0,47.09,7.0,1
capital,1200401,Rio Branco,2,Qualidade dos Serviços Digitais,,46.67,47.09,7.0,27
capital,1200401,Rio Branco,3,Identificação Única,,0.0,47.09,7.0,25
capital,1200401,Rio Branco,4,Segurança e LGPD,,20.0,47.09,7.0,24
capital,1200401,Rio Branco,5,Dados e Interoperabilidade,,0.0,47.09,7.0,20
capital,1200401,Rio Branco,6,Infraestrutura,,85.16,47.09,7.0,15
capital,1200401,Rio Branco,9,Transparência e Participação,,77.78,47.09,7.0,8
capital,1302603,Manaus,1,Governança do Governo Digital,,100.0,96.48,7.0,1
capital,1302603,Manaus,2,Qualidade dos Serviços Digitais,,89.33,96.48,7.0,8
capital,1302603,Manaus,3,Identificação Única,,100.0,96.48,7.0,1
capital,1302603,Manaus,4,Segurança e LGPD,,100.0,96.48,7.0,1
capital,1302603,Manaus,5,Dados e Interoperabilidade,,100.0,96.48,7.0,1
capital,1302603,Manaus,6,Infraestrutura,,97.12,96.48,7.0,3
capital,1302603,Manaus,9,Transparência e Participação,,88.89,96.48,7.0,1
capital,1400100,Boa Vista,1,Governança do Governo Digital,,100.0,62.31,7.0,1
capital,1400100,Boa Vista,2,Qualidade dos Serviços Digitais,,83.33,62.31,7.0,12
capital,1400100,Boa Vista,3,Identificação Única,,100.0,62.31,7.0,1
capital,1400100,Boa Vista,4,Segurança e LGPD,,40.0,62.31,7.0,21
capital,1400100,Boa Vista,5,Dados e Interoperabilidade,,0.0,62.31,7.0,20
capital,1400100,Boa Vista,6,Infraestrutura,,46.16,62.31,7.0,27
capital,1400100,Boa Vista,9,Transparência e Participação,,66.67,62.31,7.0,18
capital,1501402,Belém,1,Governança do Governo Digital,,100.0,58.12,7.0,1
capital,1501402,Belém,2,Qualidade dos Serviços Digitais,,75.33,58.12,7.0,20
capital,1501402,Belém,3,Identificação Única,,100.0,58.12,7.0,1
capital,1501402,Belém,4,Segurança e LGPD,,0.0,58.12,7.0,27
capital,1501402,Belém,5,Dados e Interoperabilidade,,0.0,58.12,7.0,20
capital,1501402,Belém,6,Infraestrutura,,75.98,58.12,7.0,21
capital,1501402,Belém,9,Transparência e Participação,,55.56,58.12,7.0,24
capital,1600303,Macapá,1,Governança do Governo Digital,,100.0,86.55,7.0,1
capital,1600303,Macapá,2,Qualidade dos Serviços Digitais,,93.33,86.55,7.0,6
capital,1600303,Macapá,3,Identificação Única,,100.0,86.55,7.0,1
capital,1600303,Macapá,4,Segurança e LGPD,,60.0,86.55,7.0,16
capital,1600303,Macapá,5,Dados e Interoperabilidade,,100.0,86.55,7.0,1
capital,1600303,Macapá,6,Infraestrutura,,74.72,86.55,7.0,22
capital,1600303,Macapá,9,Transparência e Participação,,77.78,86.55,7.0,8
capital,1721000,Palmas,1,Governança do Governo Digital,,100.0,60.28,7.0,1
capital,1721000,Palmas,2,Qualidade dos Serviços Digitais,,57.33,60.28,7.0,26
capital,1721000,Palmas,3,Identificação Única,,100.0,60.28,7.0,1
capital,1721000,Palmas,4,Segurança e LGPD,,40.0,60.28,7.0,21
capital,1721000,Palmas,5,Dados e Interoperabilidade,,0.0,60.28,7.0,20
capital,1721000,Palmas,6,Infraestrutura,,46.85,60.28,7.0,26
capital,1721000,Palmas,9,Transparência e Participação,,77.78,60.28,7.0,8
capital,2111300,São Luís,1,Governança do Governo Digital,,100.0,82.62,7.0,1
capital,2111300,São Luís,2,Qualidade dos Serviços Digitais,,85.33,82.62,7.0,9
capital,2111300,São Luís,3,Identificação Única,,100.0,82.62,7.0,1
capital,2111300,São Luís,4,Segurança e LGPD,,60.0,82.62,7.0,16
capital,2111300,São Luís,5,Dados e Interoperabilidade,,100.0,82.62,7.0,1
capital,2111300,São Luís,6,Infraestrutura,,66.34,82.62,7.0,24
capital,2111300,São Luís,9,Transparência e Participação,,66.67,82.62,7.0,18
capital,2211001,Teresina,1,Governança do Governo Digital,,100.0,76.01,7.0,1
capital,2211001,Teresina,2,Qualidade dos Serviços Digitais,,80.0,76.01,7.0,17
capital,2211001,Teresina,3,Identificação Única,,100.0,76.01,7.0,1
capital,2211001,Teresina,4,Segurança e LGPD,,100.0,76.01,7.0,1
capital,2211001,Teresina,5,Dados e Interoperabilidade,,0.0,76.01,7.0,20
capital,2211001,Teresina,6,Infraestrutura,,96.51,76.01,7.0,4
capital,2211001,Teresina,9,Transparência e Participação,,55.56,76.01,7.0,24
capital,2304400,Fortaleza,1,Governança do Governo Digital,,100.0,85.24,7.0,1
capital,2304400,Fortaleza,2,Qualidade dos Serviços Digitais,,84.0,85.24,7.0,11
capital,2304400,Fortaleza,3,Identificação Única,,100.0,85.24,7.0,1
capital,2304400,Fortaleza,4,Segurança e LGPD,,80.0,85.24,7.0,10
capital,2304400,Fortaleza,5,Dados e Interoperabilidade,,100.0,85.24,7.0,1
capital,2304400,Fortaleza,6,Infraestrutura,,77.11,85.24,7.0,19
capital,2304400,Fortaleza,9,Transparência e Participação,,55.56,85.24,7.0,24
capital,2408102,Natal,1,Governança do Governo Digital,,100.0,77.19,7.0,1
capital,2408102,Natal,2,Qualidade dos Serviços Digitais,,82.0,77.19,7.0,14
capital,2408102,Natal,3,Identificação Única,,100.0,77.19,7.0,1
capital,2408102,Natal,4,Segurança e LGPD,,20.0,77.19,7.0,24
capital,2408102,Natal,5,Dados e Interoperabilidade,,100.0,77.19,7.0,1
capital,2408102,Natal,6,Infraestrutura,,77.22,77.19,7.0,17
capital,2408102,Natal,9,Transparência e Participação,,61.11,77.19,7.0,23
capital,2507507,João Pessoa,1,Governança do Governo Digital,,100.0,87.18,7.0,1
capital,2507507,João Pessoa,2,Qualidade dos Serviços Digitais,,94.67,87.18,7.0,5
capital,2507507,João Pessoa,3,Identificação Única,,100.0,87.18,7.0,1
capital,2507507,João Pessoa,4,Segurança e LGPD,,60.0,87.18,7.0,16
capital,2507507,João Pessoa,5,Dados e Interoperabilidade,,100.0,87.18,7.0,1
capital,2507507,João Pessoa,6,Infraestrutura,,66.72,87.18,7.0,23
capital,2507507,João Pessoa,9,Transparência e Participação,,88.89,87.18,7.0,1
capital,2611606,Recife,1,Governança do Governo Digital,,100.0,91.47,7.0,1
capital,2611606,Recife,2,Qualidade dos Serviços Digitais,,85.33,91.47,7.0,9
