categoria,objetivo,objetivo_nome,sub_indice,indice_geral,n_objetivos_com_dados
PE,5,Dados e Interoperabilidade,100.0,91.47,7
PE,6,Infraestrutura,97.2,91.47,7
PE,7,Inovação e Tecnologias Emergentes,,91.47,7
PE,8,Eficiência e Processos,,91.47,7
PE,9,Transparência e Participação,77.78,91.47,7
PE,10,Competências em Governo Digital,,91.47,7
AL,1,Governança do Governo Digital,100.0,68.98,7
AL,2,Qualidade dos Serviços Digitais,58.67,68.98,7
AL,3,Identificação Única,100.0,68.98,7
AL,4,Segurança e LGPD,60.0,68.98,7
AL,5,Dados e Interoperabilidade,0.0,68.98,7
AL,6,Infraestrutura,86.44,68.98,7
AL,7,Inovação e Tecnologias Emergentes,,68.98,7
AL,8,Eficiência e Processos,,68.98,7
AL,9,Transparência e Participação,77.78,68.98,7
AL,10,Competências em Governo Digital,,68.98,7
SE,1,Governança do Governo Digital,100.0,80.74,7
SE,2,Qualidade dos Serviços Digitais,73.33,80.74,7
SE,3,Identificação Única,100.0,80.74,7
SE,4,Segurança e LGPD,60.0,80.74,7
SE,5,Dados e Interoperabilidade,100.0,80.74,7
SE,6,Infraestrutura,87.4,80.74,7
SE,7,Inovação e Tecnologias Emergentes,,80.74,7
SE,8,Eficiência e Processos,,80.74,7
SE,9,Transparência e Participação,44.44,80.74,7
SE,10,Competências em Governo Digital,,80.74,7
BA,1,Governança do Governo Digital,100.0,95.74,7
BA,2,Qualidade dos Serviços Digitais,96.0,95.74,7
BA,3,Identificação Única,100.0,95.74,7
BA,4,Segurança e LGPD,100.0,95.74,7
BA,5,Dados e Interoperabilidade,100.0,95.74,7
BA,6,Infraestrutura,96.42,95.74,7
BA,7,Inovação e Tecnologias Emergentes,,95.74,7
BA,8,Eficiência e Processos,,95.74,7
BA,9,Transparência e Participação,77.78,95.74,7
BA,10,Competências em Governo Digital,,95.74,7
MG,1,Governança do Governo Digital,100.0,96.46,7
MG,2,Qualidade dos Serviços Digitais,100.0,96.46,7
MG,3,Identificação Única,100.0,96.46,7
MG,4,Segurança e LGPD,100.0,96.46,7
MG,5,Dados e Interoperabilidade,100.0,96.46,7
MG,6,Infraestrutura,97.47,96.46,7
MG,7,Inovação e Tecnologias Emergentes,,96.46,7
MG,8,Eficiência e Processos,,96.46,7
MG,9,Transparência e Participação,77.78,96.46,7
MG,10,Competências em Governo Digital,,96.46,7
ES,1,Governança do Governo Digital,100.0,75.78,7
ES,2,Qualidade dos Serviços Digitais,83.33,75.78,7
ES,3,Identificação Única,0.0,75.78,7
ES,4,Segurança e LGPD,80.0,75.78,7
ES,5,Dados e Interoperabilidade,100.0,75.78,7
ES,6,Infraestrutura,78.23,75.78,7
ES,7,Inovação e Tecnologias Emergentes,,75.78,7
ES,8,Eficiência e Processos,,75.78,7
ES,9,Transparência e Participação,88.89,75.78,7
ES,10,Competências em Governo Digital,,75.78,7
RJ,1,Governança do Governo Digital,100.0,87.94,7
RJ,2,Qualidade dos Serviços Digitais,82.0,87.94,7
RJ,3,Identificação Única,100.0,87.94,7
RJ,4,Segurança e LGPD,80.0,87.94,7
RJ,5,Dados e Interoperabilidade,100.0,87.94,7
RJ,6,Infraestrutura,86.94,87.94,7
RJ,7,Inovação e Tecnologias Emergentes,,87.94,7
RJ,8,Eficiência e Processos,,87.94,7
RJ,9,Transparência e Participação,66.67,87.94,7
RJ,10,Competências em Governo Digital,,87.94,7
SP,1,Governança do Governo Digital,100.0,92.85,7
SP,2,Qualidade dos Serviços Digitais,76.0,92.85,7
SP,3,Identificação Única,100.0,92.85,7
SP,4,Segurança e LGPD,100.0,92.85,7
SP,5,Dados e Interoperabilidade,100.0,92.85,7
SP,6,Infraestrutura,96.15,92.85,7
